12/04/2020, 15:27:39	12/02/2020, 15:11:00	BusinessJournal	Sanford call center Total Marketing Concepts files for Chapter 11 bankruptcy protection	https://www.bizjournals.com/orlando/news/2020/12/02/total-marketing-concepts.html?ana=brss_1028	Assets are listed as between $0-$50,000 and its liabilities are listed between $10 million-$50 million, according to court records	(Bankruptcy)	Not Computed	('Sanford', 'ORG')('Chapter 11', 'LAW')	-
12/04/2020, 15:27:39	12/02/2020, 14:39:46	BusinessJournal	South Florida's Largest Foreclosure Actions	https://www.bizjournals.com/southflorida/subscriber-only/2020/11/27/south-floridas-largest-foreclosure.html?ana=brss_1028	Information was obtained through records from the counties’ court offices. This list does not include foreclosure actions resolved by November 10, 2020. South Florida includes the following metro areas: Miami, Fort Lauderdale, and Palm Beach.	(Bankruptcy)	Not Computed	("South Florida's", 'ORG')	-
12/04/2020, 15:27:39	12/01/2020, 21:03:37	BusinessJournal	The week in NM bankruptcies: Kit Carson Home & Museum Inc.	https://www.bizjournals.com/albuquerque/news/2020/12/01/the-week-in-bankruptcies-kit-carson-home-museum-inc.html?ana=brss_1028	This week in Albuquerque business bankruptcies include Kit Carson Home & Museum Inc.. For the year, Albuquerque has recorded 23 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('NM', 'ORG')('Kit Carson Home & Museum Inc.', 'ORG')	-
12/04/2020, 15:27:39	12/01/2020, 20:58:39	BusinessJournal	M&A wrap: After speedy bankruptcy, Mood Media hooks up with new PE owner	https://www.bizjournals.com/austin/news/2020/12/01/ma-wrap-mood-media-vector-capital.html?ana=brss_1028	Check out some of the latest mergers and acquisitions to hit our radar from companies such as Zilker Technology, Nexion Health and Spiceworks. One involves Mood Media, a company that creates "signature scents" for hotels and other businesses. It went through a one-day bankruptcy earlier this year.	(Bankruptcy)	Not Computed	('Mood Media', 'ORG')('PE', 'ORG')	-
12/04/2020, 15:27:59	12/04/2020, 07:43:00	Benzinga	The Daily Biotech Pulse: BioCryst's Heredity Angioedema Treatment Clears FDA, Sutro Biopharma Readout, 2 IPOs 	https://www.benzinga.com/general/biotech/20/12/18650441/the-daily-biotech-pulse-biocrysts-heredity-angioedema-treatment-clears-fda-sutro-biopharma-readou	Here's a roundup of top developments in the biotech space over the last 24 hours. Scaling The Peaks (Biotech Stocks Hitting 52-week Highs Dec. 3)  Atara Biotherapeutics Inc (NASDAQ: ATRA) Beam Therapeutics Inc (NASDAQ: BEAM) Bioanalytical Systems, Inc. (NASDAQ: BASI) Cellectis SA (NASDAQ: CLLS...	(IPOs)	Not Computed	('BioCryst', 'ORG')('Heredity Angioedema Treatment Clears FDA', 'ORG')('Sutro Biopharma Readout', 'PERSON')('2', 'CARDINAL')	-
12/04/2020, 15:28:09	12/03/2020, 11:28:07	PEHub	Highland Transcend debuts IPO	https://www.pehub.com/highland-transcend-debuts-ipo/	Highland Transcend Partners I Corp, a tech-focused blank check company, has raised $275 million for its IPO after pricing its 27.5 million shares at $10 per share.	(IPOs)	Not Computed	('Highland Transcend', 'PERSON')	-
12/04/2020, 15:28:13	12/03/2020, 09:33:44	PEHub	EQT-backed Certara sets IPO pricing terms	https://www.pehub.com/eqt-backed-certara-sets-ipo-pricing-terms/	Certara Inc, a provider of biosimulation software, has priced its IPO of 24.39 million shares at a price range between $19 and $22 per share.	(IPOs)	Not Computed	('Certara', 'GPE')	-
12/04/2020, 15:28:21	12/04/2020, 15:28:21	Fortune	 Petco Health and Wellness, a San Diego-based pet goods retailer, filed for an $100 million IPO. Canada Pension Plan Investment Board and CVC back Petco. Read more.	https://www.sec.gov/Archives/edgar/data/1826470/000119312520309678/d62974ds1.htm		(Funding /Possible_Funding /IPOs)	Not Computed	('Petco Health', 'ORG')('Wellness', 'ORG')('San Diego', 'GPE')('$100 million', 'MONEY')('Canada Pension Plan Investment Board', 'ORG')('Petco', 'ORG')	-
12/04/2020, 15:28:51	09/25/2020, 00:00:00	PEProfessional	Paul Hastings Sees Active IPO Market	https://peprofessional.com/2020/09/paul-hastings-sees-active-ipo-market/	While the U.S. IPO market ground to a halt this spring due to the outbreak of the COVID-19 pandemic, beginning in May the market came roaring back, allowing companies with IPO plans in the pipeline before the start of the pandemic to access the market. The summer resurgence has set the stage for an active […]	(IPOs)	Not Computed	('Paul Hastings', 'PERSON')	-
12/04/2020, 15:29:04	11/30/2020, 00:00:00	Crunchbase News-Business	DoorDash Sets IPO Price Range, Could See Valuation Of $30B	https://news.crunchbase.com/news/doordash-prices-ipo-could-see-valuation-of-30b/	DoorDash's post-IPO valuation will nearly double from June.	(IPOs)	Not Computed	('30B', 'MONEY')	-
12/04/2020, 15:29:04	11/20/2020, 00:00:00	Crunchbase News-Business	Wish Files For IPO Citing Losses, Revenue Growth Due To COVID-19	https://news.crunchbase.com/news/wish-files-for-ipo-citing-losses-revenue-growth-due-to-covid-19/	Wish revealed in its IPO filing that it is quite cash wealthy, with about $1.1 billion in cash, cash equivalents and marketable securities.	(IPOs)	Not Computed	('Files For IPO Citing', 'PERSON')	-
12/04/2020, 15:29:05	12/03/2020, 00:00:00	Crunchbase News-Venture	SPAC vs Traditional IPO: Investors See Benefits of Blank-check Companies	https://news.crunchbase.com/news/spac-vs-traditional-ipo-investors-see-benefits-of-blank-check-companies/	While 2020 will be remembered for a lot of things, in the investment world it may be known as the year of the special purpose acquisition company...	(IPOs)	Not Computed		-
12/04/2020, 15:29:06	11/02/2020, 00:00:00	Crunchbase News-Liquidity	Unicorns Get More Magical: 2020 Cohort Shows Huge Increase In Valuation On IPO Day	https://news.crunchbase.com/news/unicorns-get-more-magical-2020/	The initial public offering markets have opened up for high-growth tech companies, but most of those filing have been revenue-losing tech companies...	(IPOs)	Not Computed	('2020', 'DATE')	-
12/04/2020, 15:29:06	10/26/2020, 00:00:00	Crunchbase News-Liquidity	This Startup Says Investors Are Most Eager to See These Companies IPO	https://news.crunchbase.com/news/this-startup-says-investors-are-most-eager-to-see-these-companies-ipo/	Stock option-focused platform EquityBee has polled its 5,000-member investor community to put together a pre-IPO “wish list” of companies it wants to...	(IPOs)	Not Computed		-
12/04/2020, 15:29:06	11/13/2020, 00:00:00	Crunchbase News-Public	DoorDash’s IPO Filing Reveals Revenue, Losses, Market Share	https://news.crunchbase.com/news/doordashs-ipo-filing-reveals-revenue-losses-market-share/	The filing reveals a 226 percent increase in revenue over the past nine months, largely driven by the global pandemic.	(IPOs)	Not Computed		-
12/04/2020, 15:29:06	11/06/2020, 00:00:00	Crunchbase News-Public	Lending Platform Upstart’s IPO Filing Reveals Earnings, Ownership	https://news.crunchbase.com/news/inside-upstarts-s-1-earnings-ownership/	Upstart intends to raise $100 million.	(Possible_M&A /IPOs)	Not Computed		-
12/04/2020, 15:29:06	11/05/2020, 00:00:00	Crunchbase News-Public	Airbnb Lines Up Public IPO Filing For 2020 Debut	https://news.crunchbase.com/news/airbnb-ipo-filing/	Airbnb reportedly plans to set an IPO price range and launch an investor roadshow in December, subject to market conditions.	(IPOs)	Not Computed	('Airbnb', 'GPE')('2020', 'DATE')	-
